word,cefr,part_of_speech,definition,example,phonetic,audio_url,source_url
arrive,A1,verb,"If you arrive somewhere, you come to that place, usually the place that you planned to go to.",Is everything ready? I expect the guests to arrive soon.,/əˈraɪv/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-arrive.ogg,https://en.wiktionary.org/wiki/arrive
art,A1,noun,An art is a skill that produces works of creative expression and can be mastered through study and practice. Arts are often contrasted with sciences.,"Painting, music and writing are arts.",/ɑːt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-art.ogg,https://en.wiktionary.org/wiki/art
article,A1,noun,An article is a member of a larger group.,A shirt is an article of clothing.,/ˈɑrtɪkl̩/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-article.ogg,https://en.wiktionary.org/wiki/article
ask,A1,verb,To ask is to look for an answer to a question by saying it.,She sure does ask a lot of questions!,/æsk/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-ask.ogg,https://en.wiktionary.org/wiki/ask
aunt,A1,noun,Your aunt is the sister of your mother or father.,"After my parents died, we went to live with my aunt.",/ˈænt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-aunt.ogg,https://en.wiktionary.org/wiki/aunt
awake,A1,adjective,"If you are awake, you are not asleep.",It was 1:00 AM and Gerard was still awake.,/ə'weɪk/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-awake.ogg,https://en.wiktionary.org/wiki/awake
baby,A1,noun,"A baby is a very young child, less than two years old, who has not yet learned how to speak.",I used to be a baby but now I am an adult.,/ˈbeɪbi/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-baby.ogg,https://en.wiktionary.org/wiki/baby
back,A1,noun,The back is the rear part of something; it is the part in the other direction from the front.,I went to the back of the house.,/ˈbæk/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-back.ogg,https://en.wiktionary.org/wiki/back
bad,A1,adjective,"If something is bad, it is not good.",The man who killed his wife was very bad.,/bæd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bad.ogg,https://en.wiktionary.org/wiki/bad
bag,A1,noun,"Bags are containers made of soft material like paper, plastic or leather.",I put the garbage in a black plastic bag.,/ˈbɛɡ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bag.ogg,https://en.wiktionary.org/wiki/bag
ball,A1,noun,A ball is a round thing. People often use them to play games.,The croquet ball was hit through the wicket and the game was over.,/bɔːl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-ball.ogg,https://en.wiktionary.org/wiki/ball
band,A1,noun,A band is a group of people working together.,Those in the army who fought closely together in the war were called a band of brothers.,/bænd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-band.ogg,https://en.wiktionary.org/wiki/band
bank,A1,noun,A building where you can keep and borrow money.,I have to stop at the bank to deposit my check and get money for tonight.,/bæŋk/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bank.ogg,https://en.wiktionary.org/wiki/bank
bar,A1,noun,A bar is a place that sells alcoholic drinks.,I'm going to drink beer at the bar.,/bɑr/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bar.ogg,https://en.wiktionary.org/wiki/bar
baseball,A1,noun,"A sport where you try to hit a ball so that you can run to four bases, causing a run. The team with the most runs after nine or more innings wins.",The New York Yankees are a baseball team.,/ˈbeɪs.bɔl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-baseball.ogg,https://en.wiktionary.org/wiki/baseball
basketball,A1,noun,A ball game with two teams of five players. A goal is scored when a player throws the ball into a net (attached to a hoop) at each end of the court.,I play on my school's basketball team.,/ˈbæs.kɪt.bɔːl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-basketball.ogg,https://en.wiktionary.org/wiki/basketball
bath,A1,noun,"A long, high basin that you put water in and go in to wash your body.",Jane put in water up to the top of the bath.,/bɑːθ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bath.ogg,https://en.wiktionary.org/wiki/bath
bathroom,A1,noun,A bathroom is a room that has a bathtub or a shower.,"In our house, the bathroom is very busy in the morning.",/ˈbæθruːm/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bathroom.ogg,https://en.wiktionary.org/wiki/bathroom
beach,A1,noun,"A large area of sand (or very small stones), next to an area of water.","People sometimes lie on beaches when they are on holiday, to get a suntan.",/bit͡ʃ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-beach.ogg,https://en.wiktionary.org/wiki/beach
bean,A1,noun,Beans are the seeds of one family of plants that people often cook and eat.,Put the dried beans in water overnight. They should be soft and ready to cook in the morning.,/biːn/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bean.ogg,https://en.wiktionary.org/wiki/bean
bear,A1,noun,"A bear is a big animal with a short tail. They either eat only meat or meat and plants. There are many different types of bears, for example brown bears and polar bears.",Polar bears are white.,/bɛɚ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bear.ogg,https://en.wiktionary.org/wiki/bear
beautiful,A1,adjective,"If something is beautiful, it is very good to look at it.",Look at that beautiful bird!,/ˈbjuːtɪfəl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-beautiful.ogg,https://en.wiktionary.org/wiki/beautiful
become,A1,verb,"If x becomes y, it changes into y or changes to be more y.",The boy has become a man.,"/bə'kʌm, bɪˈkʌm/",https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-become.ogg,https://en.wiktionary.org/wiki/become
bed,A1,noun,A piece of furniture to sleep on.,"At night, I go to bed.",/bɛd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bed.ogg,https://en.wiktionary.org/wiki/bed
bedroom,A1,noun,A room in a house that is used for sleeping. This is where the bed is kept.,"I hate camping. I wish I was back in my bedroom, sleeping in my own bed.",/ˈbɛdˌrum/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bedroom.ogg,https://en.wiktionary.org/wiki/bedroom
bee,A1,noun,A bee is a black and yellow striped insect with wings that makes honey. It has a stinger.,That bee is flying to the flower.,/biː/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bee.ogg,https://en.wiktionary.org/wiki/bee
before,A1,preposition,"If x happens before y, x happens first and y happens second.",He worked in a gas station before he became famous.,/bəˈfɔr/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-before.ogg,https://en.wiktionary.org/wiki/before
begin,A1,verb,"When you begin something, you start to do the first part of a longer action.",A journey always begins with a first step.,/bɪˈɡɪn/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-begin.ogg,https://en.wiktionary.org/wiki/begin
behind,A1,preposition,"When something is behind a second thing, the first thing is in back of the second.",The ball is behind the box.,/bɪˈhaɪnd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-behind.ogg,https://en.wiktionary.org/wiki/behind
believe,A1,verb,"When you believe, you have faith in something.",He believes in one God.,/bɪˈliːv/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-believe.ogg,https://en.wiktionary.org/wiki/believe
